"country","MostPeaceful2023GPI","MostPeaceful2022GPI","MostPeaceful2021GPI","gpiChange"
"Austria",1.316,1.3,1.317,0.016000000000000014
"Switzerland",1.339,1.357,1.323,-0.018000000000000016
"Laos",1.779,1.809,1.809,-0.030000000000000027
"Nicaragua",2.294,2.334,2.445,-0.040000000000000036
"Serbia",1.921,1.832,1.797,0.08899999999999997
"Libya",2.605,2.93,3.166,-0.3250000000000002
"Paraguay",1.942,1.976,1.997,-0.03400000000000003
"Kyrgyzstan",2.11,2.028,1.998,0.08199999999999985
"Bulgaria",1.643,1.541,1.577,0.10200000000000009
"Turkmenistan",2.107,2.116,2.154,-0.008999999999999897
"El Salvador",2.279,2.231,2.184,0.04800000000000004
"Republic of the Congo",2.21,2.184,2.291,0.0259999999999998
"Singapore",1.332,1.326,1.347,0.006000000000000005
"Denmark",1.31,1.296,1.256,0.014000000000000012
"Central African Republic",2.934,3.021,3.131,-0.08699999999999974
"Slovakia",1.578,1.499,1.557,0.07899999999999996
"Finland",1.399,1.439,1.402,-0.040000000000000036
"Liberia",1.946,1.973,1.998,-0.027000000000000135
"Norway",1.55,1.465,1.438,0.08499999999999996
"Palestine",2.538,2.552,2.61,-0.014000000000000234
"New Zealand",1.313,1.269,1.253,0.04400000000000004
"Costa Rica",1.731,1.732,1.735,-0.0009999999999998899
"Lebanon",2.581,2.615,2.797,-0.03400000000000025
"Ireland",1.312,1.288,1.326,0.02400000000000002
"Mauritania",2.228,2.193,2.29,0.03500000000000014
"Oman",1.794,1.889,1.982,-0.09499999999999997
"Panama",1.942,1.876,1.919,0.06600000000000006
"Kuwait",1.669,1.739,1.688,-0.07000000000000006
"Croatia",1.45,1.44,1.48,0.010000000000000009
"Eritrea",2.505,2.494,2.555,0.010999999999999677
"Georgia",2.071,2.065,2.054,0.006000000000000227
"Mongolia",1.765,1.775,1.783,-0.010000000000000009
"Uruguay",1.798,1.795,1.817,0.0030000000000001137
"Moldova",1.873,1.882,1.909,-0.008999999999999897
"Bosnia and Herzegovina",1.892,1.85,1.97,0.041999999999999815
"Gambia",1.888,1.792,1.853,0.09599999999999986
"Albania",1.745,1.761,1.824,-0.015999999999999792
"Jamaica",1.986,1.99,1.992,-0.0040000000000000036
"Armenia",1.929,1.992,2.075,-0.06299999999999994
"Qatar",1.524,1.533,1.605,-0.008999999999999897
"Botswana",1.762,1.801,1.753,-0.038999999999999924
"Lithuania",1.671,1.724,1.689,-0.052999999999999936
"Namibia",1.859,1.908,1.927,-0.04899999999999993
"Gabon",2.068,1.973,2.074,0.09499999999999997
"Lesotho",2.191,2.089,2.202,0.10199999999999987
"Guinea-Bissau",2.045,2.156,2.113,-0.11100000000000021
"Slovenia",1.334,1.316,1.315,0.018000000000000016
"North Macedonia",1.713,1.704,1.744,0.009000000000000119
"Latvia",1.582,1.673,1.686,-0.09099999999999997
"Equatorial Guinea",2.013,1.863,1.915,0.1499999999999999
"Trinidad and Tobago",1.946,2.005,2.029,-0.05899999999999994
"Bahrain",2.145,2.085,2.121,0.06000000000000005
"Timor-Leste",1.796,1.839,1.873,-0.04299999999999993
"Estonia",1.563,1.662,1.612,-0.09899999999999998
"Mauritius",1.546,1.57,1.592,-0.02400000000000002
"Cyprus",1.904,1.903,1.912,0.0009999999999998899
"Eswatini",2.168,2.033,1.955,0.13500000000000023
"Djibouti",2.196,2.213,2.146,-0.016999999999999904
"Guyana",2.134,2.14,2.114,-0.006000000000000227
"Bhutan",1.496,1.481,1.51,0.014999999999999902
"Montenegro",1.772,1.801,1.847,-0.028999999999999915
"Iceland",1.124,1.107,1.1,0.017000000000000126
"Total",2.0760869565217384,2.074900621118013,2.0853664596273296,0.0011863354037266974
